リンク,仕事内容,必要なスキル・経験
https://www.green-japan.com/company/9182/job/265315,"業務内容
データ基盤構築 pythを用いたデータマネージメント基盤の設計・実装
インフラ構築 terraformを利用したインフラのプロビジョニングと管理
フロントエンド typescriptによるユーザーフレンドリーなフロントエンドの
※変更の範囲：会社の定める業務",
https://www.green-japan.com/company/3070/job/233612,"フルリモートで「地方の住み心地の良さは維持」しながら、エンジニア心をくすぐるような「東京都内の仕事」をしませんか？

フルリモート・地方勤務ok・転勤なし・という条件で、受託業務のサポートをベースに、スキルや希望に応じて下記のような業務に従事していただきます。（服装自由、面接リモート、出社は一切不要です。）

例）webシステムスマホアプリweb企画webデザイン制作各種サーバ構築各種サーバ保守webマーケティングオウンドメディア運営

ーーー

求人を見ていただき、ありがとうございます。

需要が増え「技術の土台さえあれば高給」となったエンジニア職。しかし、花形の仕事の大半は都心に集中し、地方でフルリモート業務を許されるのは人脈のある売れっ子エンジニアのみ。キャリア数年のエンジニアや、ずっと地方在住で頑張ってきたエンジニアにとって「興味のある仕事をやりながら、フルリモートで、スキルアップもできる」という求人は、なかなか見つかりません。

住んでいる場所と、エンジニアとしての優秀さ・伸びしろの大きさは「全く関係ない」のに...。リモートワークが一般化した現代で、住みたい場所によってキャリアに差が付くのは悔しい...。

以前、話をしたエンジニアの方がそう言っていたのを聞いて「全くその通りだな」と思い、この求人を出すことにしました。会いたい方は会いに来てもらって全く構いませんが、面接から業務開始後も「全てフルリモート」での募集を行ってみようと思います。一応弊社は「基本在宅ワーク」ですし、北海道・大阪・広島・福井でフルリモートしているメンバーも４名いる実績があり、この判断をいたしました。

ここまで読んでいただけているというのは、興味を持っていただけているのかなという前提のもと、うちの会社を少し売り込みさせていただきますと...

①今後、出社に切り替わるみたいなのはありません。
②裁量労働制ですが、ありえない残業やデスマーチはありません。
③その上で、チャレンジしたい人は「バンバンしていいよ。」という選択肢の幅があります。
④勉強したい人はどんどんスキルアップしてほしいです。そのためなら援助は惜しみません。
⑤そうして結果を出した人をちゃんと評価するというのは、人事で大事にしています。
⑥１人１人が裁量を持ち、チームで意見を出し合い協力してすることを大切にしています。
⑦世の中にどう生かされていくのかイメージできるを重要視にしています。
⑧2012創業。it業界では老舗で、人脈・実績もありキャッシュも安定しています。
⑨リモートでのコミュニケーション負荷を下げるためタスク管理ツールも自作しました。
⑩社長がエンジニア出身なので、エンジニアの気持ちを大事にする会社です。

良いことばかり書くと、胡散臭く感じてしまうかもしれないので、
ちょっとだけネガティブなことも書いておくと...

①社長も役員陣もお酒が大好きなので、リモート飲み会にお誘いするかもしれません。もちろん任意なので断ってもらって大丈夫です。
②プロジェクトを推進する上で、慎重すぎる判断をする傾向があります。でも、そのおかげで創業から今まで重大な事故を起こしていません。皆さんを守るために必要なことだと思っています。

私たち、株式会社カタリストシステムは、そんな会社です。きっと、あなたにとっては名前も聞いたこともない東京のいちベンチャー企業だと思いますが、もし良ければ名前を覚えていただき、興味があればご応募いただけると嬉しいなと思います。",
https://www.green-japan.com/company/4001/job/159197,"タクシーアプリ『go』やその他新規事業における、サーバサイドを総合的に行っていただきます。 アーキテクチャ設計やgcpawsを使ったシステムを通し、インフラからアプリケーションまで幅広くお任せします。

[環境]
言語：gopythruby
ミドルウェア：mysqlpostgresqlredis
インフラ：gcpawskubernetesdocker
ide visualstudio codegolandintellij
cicd traviscicirclecigithub actis
vcs github",
https://www.green-japan.com/company/2390/job/266545,"弊社は東証プライム上場企業「フリービット株式会社」のグループ会社です。社内では複数の自社プロダクトを運営しており、b2b領域で国内no.1のアドテク製品やb2b関連メディアも保有し、web広告市場を内側から牽引する会社の一社となります。

現在、大規模なデータ処理を可能とする巨大な分散処理クラスタを保有しており、apache hadoop spark hbaseの最新技術を駆使し、数兆レコード、数ペタバイトのデータを処理する基盤の・に取り組んでいます。
今回はこの基盤の更なる発展と安定を担うインフラエンジニアを募集します。

■具体的な業務内容
・apache hadoop spark hbase kafkaの分散処理クラスタの・保守
・ansibleを使用したインフラの自動化
・keepalivedを活用した高可用性システムの構築・
・オンプレミスサーバーの日常的な管理
・必要に応じたデータセンターでの現地作業


os：linux
言語：java（spring）、pyth、php
ソースコード管理：github
プロジェクト管理：jira
情報共有ツール：slack
クラウド：aws・gcp　※オンプレミスと併用
pc：macbook proもしくはwindows　※選択可

■自社プロダクト例
・国内最大規模 btob ターゲティング広告「admatrix」
・btobマーケティングに特化したサイネージ広告「vift」
・スマートフォン特化アドネットワーク「polymorphicads」
・メディア収益化のための仕組み「freepass header bidding」",
https://www.green-japan.com/company/9705/job/218627,"■ポジションについて
バックエンドエンジニアはプロダクトチームに所属し、フロントエンドエンジニアやデザイナーと協働しながら当社製品product data platformの・実装を担当します。

当社の製品はまだ生まれたばかり。現在、0（ゼロ）ベースで創っているフェーズにあります。
プロダクトチームが、ビジネス部門を通じて知り得た顧客ニーズに応えられるよう機能の・実装を目指すなか、
その仕組みが実際に機能し、かつ製品としてスケールするよう実現することが当ポジションのミッションです。

当社製品の導入を検討されているお客様にとって、機能の有無や製品の使いやすさが意思決定に影響するケースも多く、プレッシャーを感じる場面もありますが、実装した機能がお客様に喜ばれ、新規顧客の獲得へとつながった際には、非常に大きな喜びと達成感を感じられることが、当ポジションのやりがいです。

◉具体的な業務◉
・当社製品のバックエンド機能  バッチ処理等の新規、改修、、保守
・プロダクト仕様に関するドキュメントの整備
・仕様検討、デザイナー、フロントエンドエンジニアとの協働
また、チームミーティングや勉強会でナレッジを共有いただくことで、プロダクトチームの技術力向上にも貢献いただくことを期待しております。

「最新機能はどんどん取り入れてしていこう」というチーム方針の元、個人の裁量や意見を尊重する社風のため、新しい技術に触れる機会が多くエンジニアとして成長できる環境であることや、自身のアイデアがそのまま機能実装に反映されるといった楽しさがあります。

◎最新機能を活かして製品を行いたい
◎誰かが決めた通りにするのではなく、ニーズを理解した上でご自身のアイデアも反映させながら製品に貢献したい

という想いをお持ちの方を募集しております！


# 技術スタック
・バックエンド
node.js  typescript  go  pyth   graphql  postgresql
 ・フロントエンド
typescript  react(next.js)   graphql  firebase
 ・機械学習・データ基盤
pyth  pandas  bigquery
・インフラ
gcp ( gce  gke  cloud functis  cloud run  workflow  dataflow  bq  vertex ai 等 )  docker  terraform  vercel
 ・ci  cd
github
・コミュニケーション
slack  google workspace  noti
 ・タスク・プロジェクト管理
asana",
https://www.green-japan.com/company/4847/job/122549,"クライアントの経営支援としてコンサルティングからit改革支援、システム構築を担当していただきます。
上流・下流に捉われず、徹底的に業務を理解することで、大手itコンサルティングファームを圧倒する課題解決が可能です。
私たちは「単純なitシステムの導入」「して終わり」ではなく、クライアントにとって本当に解決すべき業務課題や経営課題を抽出し、最適な仕組みを提供しております。

◆具体的な業務内容
・業務とitを連動させた基幹システムの刷新・構築
・クライアントのニーズに基づいたシステムおよび導入
・経営課題や業務課題に対してのクライアント改革
・クライアントに寄り添いつつ、itの力を駆使して業務改革・実行支援
・パートナーエンジニアのマネジメント
、適性やご希望によって担当業務が決定いたします。

◆案件例
～数千億の売上規模のクライアントにおける基幹システムの刷新・案件から、1500店舗展開のアパレル企業、60店舗の飲食チェーンのシステムまで幅広く携われます～

・売上4500億円、全国500店舗の大手製造小売企業の各種予約サービス基盤
・売上5000億円以上、全国3500店舗以上の大手小売企業のecサイト、店舗別注システム構築、海外店舗向けシステム展開支援
・売上5000億円以上、130店舗を誇る大手スーパーマーケットのネットスーパー構築

◆リヴァンプdx事業部の特徴（他社コンサル、sierとの違い）
・一気通貫（計画の提案、だけでは終わらず実行ありきでクライアント目線）
・長期コミット（長いプロジェクトですと10年以上）
・営業なし（口コミやクライアント紹介によって継続的に案件を受注）
・昇進昇級が盛ん（評価体制にも力を入れています）

◆主な環境
php typescript react.js pyth postgresql aws jira slack gitlab

◆キャリアパス
サーバレス、コンテナベースのとなるため、ある程度インフラにも強いフルスタックエンジニアへのキャリアパスや、システム刷新のスペシャリスト（itコンサルタント）等も視野に成長出来る環境を整えています。

◆チーム構成
チーム構成は、元外資itコンサル出身の執行役員の元、10名～50名程度のチームでそれぞれ構成されています。大手sier、ses、itコンサルティングファームから入社した社員が多く、先端技術を駆使したサービスを主としたチームでの組成を考えております。

◆働き方
フレックス制のフルリモートワーク。googleハングアウトやzoomをつないでコミュニケーションをとりながらしています。既に北海道～沖縄の方まで約40名がフルリモートエンジニアとして入社し、活躍しています！",
https://www.green-japan.com/company/7126/job/196400,"ヒアリング・提案の最上流から、要件定義・設計～保守のフェーズまで、プロジェクトの状況や個人の経験・能力・意向に応じてアサインします。

具体的な業務内容
■法人顧客との打ち合わせ、ヒアリング
■ドキュメントの作成
■webシステム業務
・要件定義
・基本設計
・詳細設計
・プログラミング
・テスト
・保守

★お客様案件だけでなく、自社のスマホアプリ、自社サービスにも携わっていただく可能性がございます。
★基本的にはチームでアサインを行うため、フォローし合いながらプロジェクトを進めています！
★会社都合で配属を決めることはなく、あくまでも本人の意向を大切にしています。
★salesforceのcrm業務をお願いする場合もあります。


＊水道会社向け検針・料金システム（java）
＊車両販売システム（java）
＊金融会社向けデータ分析基盤（pyth）",
https://www.green-japan.com/company/7275/job/280831,"pythでキャリアを作っていきたい、
pythフレームワークに触れてスキルを伸ばしたい方、大歓迎です！
独学でpythでの経験があれば是非ご連絡ください！

pythと一言で言っても、様々なサービス、プロダクトがあります。
弊社であれば、サービスなのか、データ分析なのか、ゲームなのか
「何をやりたいか」を一緒にしっかりすり合わせて決めていきます！

▼こんなpythのプロジェクトがあります！
=======================
■ヘルスケアサービスの
pyth、react、aws

■動画配信システムの
pyth（django、bootstrap）、github、aws、docker、アジャイル

■バーチャル空間のプラットフォーム
pyth、unreal engine

■飲食店向けの新規webサービス
pyth（django）、php（laravel）、vue.js、aws

■データ分析支援
pyth、aws、tableau
=======================

上記のようなモダンな環境で、pythの経験を伸ばしていきたい方はぜひご連絡ください！
まずはwebご連絡お待ちしております！",
https://www.green-japan.com/company/5479/job/245576,"◎子育て中のママパパも多く働いています！
　2022年度の「ふじのくに子育てに優しい企業」表彰企業
◎フルリモートのため、場所に捉われずスキルアップ可能
◎昇給年2回！スピード昇給も可能です。

業務内容
自社のsaasサービスのシステムをしていただきます。
チームメンバーと一緒に、お客様や社内要望を確認しながらを進めます。
経験のある方、歓迎いたします。

※当社規定により副業はご遠慮いただいております。ご了承ください。

主な利用技術
■言語 php java perl javascript ruby pyth swift kotlin
■db(ストレージ) postgresql mysql rds
■webサーバ apache nginx tomcat
■インフラ：aws centos rds elb zabbix
■コミュニケーション backlog git slack
■個人のpc：windowsmacは選べます。


■完全在宅勤務ですが、常にコミュニケーションを取りながら、お互いに助け合って仕事ができます。
■既存のサービス・新規事業ともに社内で進めますので、自分の意見・アイデアを反映させる場があります。
■全ての工程に関わることができるので、自分が作ったサービスが世に出るということをより実感していただけるかと思います。",
https://www.green-japan.com/company/7891/job/281881,"具体的な業務内容
メンバー数2～5名、期間3か月～半年程度のプロジェクトにアサインされ、下記業務を担当します。
・基本設計、詳細設計
・技術選定
・フロントエンドを中心としたwebシステムの
   ・プロジェクトに応じてバックエンドにも一部関与

ー pluszeroで働く魅力
①モダンかつ幅広い領域の技術を短いスパンで経験できる、
②どのキャリアパスを選んだとしてもコードを書き続けることができる。
③フルリモート可・フレックス等の自由な環境で自分にとって最適な働き方を実現できる。
の3点があると考えています。

①モダンかつ幅広い領域の技術を短いスパンで経験できる。
社内標準技術としては、typescript nestjs reactを採用しており、モダンな技術を用いたが可能です。
なお、使用する技術はプロジェクトごとに最適なものを選定しているため、特定の技術だけでなく、各状況における最適な技術を習得できます。
今回の募集では、フロントエンドを主軸としつつ、バックエンドも多少担当していただくポジションとなるため、将来的にフルスタックエンジニアを目指したい方にも適しています。
3～6か月程度のサイクルで新しいプロジェクトに挑戦できるため、短期間で多くの経験を積むことができます。

②どのキャリアパスを選んだとしてもコードを書き続けることができる。
キャリアパスとして、フロントエンド中心のエンジニアとして技術を極める、フルスタックやai領域にも幅を広げる、プロジェクトマネージャー等のマネジメントの道に進む等を選ぶことができますが、
どの道を選んだとしても本人が望む限りコードを書き続けることができます。
pmに関しても、当社は一定以上のエンジニアリングスキルを持つ方にリードエンジニアを兼ねる形で担当いただいております。

③フルリモート可・フレックス等の自由な環境で自分にとって最適な働き方を実現できる。
働き方として、出社リモートワークのどちらを選ぶかは各自の判断に任されており、自分にとって最適な働き方を実現できます。
その結果フルリモートで働かれている方が8割程度となっており、会社としてもリモートワーク前提の運営をしています。
また、フレックスタイム制を導入しており、平均残業時間も5h月と限定的であるため、ワークライフバランスが取りやすい環境となっています。

の特徴
ー 自社体制
プロジェクト受注後のに関しては、原則外注を使用せずすべて社内のエンジニアが実施しています。
自社体制により、次々生まれる技術トレンドに関してノウハウがどんどん社内に蓄積していき、またノウハウは社内研修で共有されるため、エンジニアはスピード感を持って成長できます。

ー チームの雰囲気
常に最新技術を取り入れて自己研鑽し続けているスペシャリストが分野ごとに多数在籍しています。
フラットな社風で立場もプロジェクトの壁も越えて、お互いに相談しあえる環境のため、日々周りのスペシャリストのエンジニアたちから学び続けることが可能です。
「10分考えてわからないことは人に聞く」という文化があり、組織全体で助け合う心地よい雰囲気があります。

ー 使用技術
社内標準技術のtypescript nestjs reactを中心に、プロジェクトごとに最適なものを選定しています。

・主要言語
　 typescript(javascript) pyth php rust c
・主要フレームワーク
　 nestjs react react native vue.js laravel
・主要データベース
　 aurora mysql postgresql dynamodb
・サーバos
　 linux",
